1.9932e-16 1.9594e+02 1.9933e-16
2.0368e-16 2.0460e+02 2.0369e-16
2.0813e-16 2.1365e+02 2.0814e-16
2.1269e-16 2.2310e+02 2.1270e-16
2.1734e-16 2.3297e+02 2.1735e-16
2.2209e-16 2.4327e+02 2.2210e-16
2.2695e-16 2.5403e+02 2.2696e-16
2.3192e-16 2.6527e+02 2.3193e-16
2.3699e-16 2.7700e+02 2.3700e-16
2.4218e-16 2.8925e+02 2.4218e-16
2.4747e-16 3.0205e+02 2.4748e-16
2.5289e-16 3.1540e+02 2.5290e-16
2.5842e-16 3.2935e+02 2.5843e-16
2.6407e-16 3.4392e+02 2.6408e-16
2.6985e-16 3.5913e+02 2.6986e-16
2.7575e-16 3.7502e+02 2.7576e-16
2.8178e-16 3.9160e+02 2.8179e-16
2.8795e-16 4.0892e+02 2.8796e-16
2.9425e-16 4.2701e+02 2.9426e-16
3.0068e-16 4.4589e+02 3.0069e-16
3.0726e-16 4.6562e+02 3.0727e-16
3.1398e-16 4.8621e+02 3.1399e-16
3.2085e-16 5.0771e+02 3.2086e-16
3.2787e-16 5.3017e+02 3.2788e-16
3.3504e-16 5.5362e+02 3.3505e-16
3.4237e-16 5.7810e+02 3.4238e-16
3.4986e-16 6.0367e+02 3.4987e-16
3.5751e-16 6.3037e+02 3.5753e-16
3.6533e-16 6.5825e+02 3.6535e-16
3.7333e-16 6.8736e+02 3.7334e-16
3.8149e-16 7.1776e+02 3.8151e-16
3.8984e-16 7.4951e+02 3.8985e-16
3.9837e-16 7.8266e+02 3.9838e-16
4.0708e-16 8.1727e+02 4.0710e-16
4.1599e-16 8.5342e+02 4.1600e-16
4.2509e-16 8.9117e+02 4.2510e-16
4.3438e-16 9.3058e+02 4.3440e-16
4.4389e-16 9.7174e+02 4.4390e-16
4.5360e-16 1.0147e+03 4.5361e-16
4.6352e-16 1.0596e+03 4.6354e-16
4.7366e-16 1.1065e+03 4.7368e-16
4.8402e-16 1.1554e+03 4.8404e-16
4.9461e-16 1.2065e+03 4.9463e-16
5.0543e-16 1.2599e+03 5.0545e-16
5.1648e-16 1.3156e+03 5.1650e-16
5.2778e-16 1.3738e+03 5.2780e-16
5.3933e-16 1.4345e+03 5.3935e-16
5.5113e-16 1.4980e+03 5.5115e-16
5.6318e-16 1.5642e+03 5.6320e-16
5.7550e-16 1.6334e+03 5.7552e-16
5.8809e-16 1.7056e+03 5.8811e-16
6.0096e-16 1.7811e+03 6.0098e-16
6.1410e-16 1.8598e+03 6.1413e-16
6.2754e-16 1.9421e+03 6.2756e-16
6.4126e-16 2.0280e+03 6.4129e-16
6.5529e-16 2.1177e+03 6.5532e-16
6.6963e-16 2.2113e+03 6.6965e-16
6.8427e-16 2.3091e+03 6.8430e-16
6.9924e-16 2.4113e+03 6.9927e-16
7.1454e-16 2.5179e+03 7.1457e-16
7.3017e-16 2.6293e+03 7.3020e-16
7.4614e-16 2.7456e+03 7.4617e-16
7.6247e-16 2.8670e+03 7.6250e-16
7.7914e-16 2.9938e+03 7.7918e-16
