1.0004e+00 2.1260e-320 
1.0729e+00 2.6053e-311 
1.1508e+00 2.4527e-302 
1.2343e+00 1.8213e-293 
1.3239e+00 1.0873e-284 
1.4200e+00 5.2939e-276 
1.5231e+00 2.1269e-267 
1.6337e+00 7.1165e-259 
1.7525e+00 1.9980e-250 
1.8797e+00 4.7398e-242 
2.0164e+00 9.5415e-234 
2.1630e+00 1.6372e-225 
2.3203e+00 2.4042e-217 
2.4892e+00 3.0315e-209 
2.6702e+00 3.2951e-201 
2.8647e+00 3.0937e-193 
3.0734e+00 2.4457e-185 
3.2972e+00 1.5662e-177 
3.5374e+00 8.2166e-170 
3.7955e+00 3.5660e-162 
4.0723e+00 1.2913e-154 
4.3698e+00 3.9309e-147 
4.6889e+00 1.0167e-139 
5.0317e+00 2.9970e-132 
5.4000e+00 6.5468e-125 
5.7952e+00 1.0916e-117 
6.2200e+00 1.4159e-110 
6.6760e+00 1.4940e-103 
7.1660e+00 1.3136e-96 
7.6923e+00 9.2031e-90 
8.2579e+00 5.3552e-83 
8.8659e+00 2.6833e-76 
9.5198e+00 1.1385e-69 
1.0222e+01 3.8513e-63 
1.0978e+01 1.1234e-56 
1.1790e+01 2.2337e-50 
1.2664e+01 4.6751e-44 
1.3605e+01 9.7016e-38 
1.4617e+01 1.0250e-31 
1.5706e+01 6.0351e-26 
1.6879e+01 3.0665e-20 
1.8142e+01 6.8524e-15 
1.9503e+01 4.5984e-10 
2.0970e+01 4.9412e-06 
2.2551e+01 5.3724e-03 
2.4256e+01 3.4986e-01 
2.6096e+01 6.3519e-01 
2.8082e+01 9.5719e-03 
3.0226e+01 3.1817e-07 
3.2541e+01 5.1819e-15 
3.5044e+01 8.3275e-16 
3.7750e+01 6.2364e-16 
4.0680e+01 4.7816e-16 
4.3851e+01 3.6720e-16 
4.7284e+01 2.8419e-16 
5.1010e+01 2.1588e-16 
5.5048e+01 1.6543e-16 
5.9435e+01 1.2806e-16 
6.4199e+01 1.0047e-16 
6.9382e+01 7.9593e-17 
7.5023e+01 6.3939e-17 
8.1165e+01 5.2171e-17 
8.7869e+01 4.3031e-17 
9.5189e+01 3.5890e-17 
1.0319e+02 3.0343e-17 
1.1196e+02 2.5891e-17 
1.2156e+02 2.2294e-17 
1.3210e+02 1.9338e-17 
1.4369e+02 1.6856e-17 
1.5646e+02 1.4732e-17 
1.7055e+02 1.2872e-17 
1.8613e+02 1.1200e-17 
2.0339e+02 9.6708e-18 
2.2256e+02 8.2458e-18 
2.4390e+02 6.9126e-18 
2.6774e+02 5.6695e-18 
2.9443e+02 4.5322e-18 
3.2443e+02 3.5176e-18 
3.5825e+02 2.6456e-18 
3.9652e+02 1.9263e-18 
4.4004e+02 1.3571e-18 
4.8971e+02 9.2608e-19 
5.4678e+02 6.1181e-19 
6.1262e+02 3.9176e-19 
6.8907e+02 2.4302e-19 
7.7839e+02 1.4589e-19 
8.8345e+02 8.4630e-20 
1.0079e+03 4.7318e-20 
1.1563e+03 2.5420e-20 
1.3348e+03 1.3069e-20 
1.5510e+03 6.4004e-21 
1.8143e+03 2.9745e-21 
2.1377e+03 1.3040e-21 
2.5367e+03 5.3657e-22 
3.0315e+03 2.0576e-22 
3.6476e+03 7.2894e-23 
4.4173e+03 2.3594e-23 
5.3801e+03 6.8925e-24 
6.5866e+03 1.7545e-24 
8.1003e+03 2.9042e-25 
